Numéro d'équipe,Clermont,Marnaz,Paris,Valence,Neuville,Nantes
10854,15683.7,21548.5,1502.0,21745.3,16968.0,14532.6
20989,23812.8,22680.8,34348.0,13318.3,18624.8,41657.9
20990,23812.8,22680.8,34348.0,13318.3,18624.8,41657.9
20991,23812.8,22680.8,34348.0,13318.3,18624.8,41657.9
21403,16567.0,22431.8,1446.9,22628.6,17851.3,15415.9
21420,11686.8,5699.7,20088.0,7102.5,5212.0,29424.9
21425,8465.9,8115.4,19001.1,3081.9,3299.3,27008.0
21434,5254.6,9210.5,17972.8,6505.2,2487.1,23796.7
22225,23925.4,22345.6,34460.6,13430.9,18737.4,41770.5
22948,7232.6,8160.7,17653.7,4793.0,2042.9,25774.7
23107,14046.3,419.1,21573.2,10090.9,7571.5,30910.1
23147,7264.1,7503.6,16815.0,5966.8,0.0,25806.2
23149,0.0,14131.5,16319.0,11155.2,7408.1,20171.8
23151,12819.8,3576.2,20699.8,8009.9,6405.4,30036.7
23341,16567.0,22431.8,1446.9,22628.6,17851.3,15415.9
24069,7179.9,7797.8,17491.6,4634.6,1720.0,25722.0
24190,10032.9,6083.0,16241.4,7924.4,3467.0,25578.3
24276,13859.7,1004.2,21386.6,10115.5,7384.9,30723.5
24617,15972.4,26511.9,11070.4,25572.1,21771.0,4479.7
24890,16411.6,22276.4,1571.9,22473.2,17695.9,15260.5
24892,10032.9,6083.0,16241.4,7924.4,3467.0,25578.3
24949,10032.9,6083.0,16241.4,7924.4,3467.0,25578.3
24995,10502.0,4871.3,18028.9,8224.0,4027.2,27365.8
25009,11122.7,10087.5,21657.9,0.0,5934.7,29664.8
25010,18945.6,30856.1,18741.1,29140.1,25393.0,9073.8
25012,7960.2,6516.2,17511.1,5682.2,1485.4,26502.3
25017,7960.2,6516.2,17511.1,5682.2,1485.4,26502.3
25022,16417.1,22117.8,1116.0,22314.6,17537.3,15266.0
25031,7314.5,7822.4,16631.8,6352.7,997.2,25686.5
25042,12778.3,2711.6,21142.9,7968.4,6363.9,30479.8
25045,6417.9,10097.0,19821.5,5675.7,4335.8,24960.0
25052,11759.8,13876.5,25318.0,4288.3,9594.8,30581.1
25053,7179.9,7797.8,17491.6,4634.6,1720.0,25722.0
25063,0.0,14131.5,16319.0,11155.2,7408.1,20171.8
25064,0.0,14131.5,16319.0,11155.2,7408.1,20171.8
25065,13570.6,26017.0,27053.7,17699.3,19759.6,23982.4
25066,6825.4,8144.7,16261.1,6198.6,1421.3,25315.8
25133,19034.5,24942.2,4714.0,25139.0,20361.7,15393.5
25150,15149.0,26074.7,25992.3,16486.5,21596.4,21864.6
25203,18776.4,29315.9,13912.6,28376.1,24575.0,3514.5
25259,1391.9,14096.1,15432.9,11119.8,7372.7,19285.7
25267,10032.9,6083.0,16241.4,7924.4,3467.0,25578.3
25270,10502.0,4871.3,18028.9,8224.0,4027.2,27365.8
25273,7232.6,8160.7,17653.7,4793.0,2042.9,25774.7
25351,10032.9,6083.0,16241.4,7924.4,3467.0,25578.3
25367,14046.3,419.1,21573.2,10090.9,7571.5,30910.1
25408,7859.8,7466.9,18134.0,4105.9,2061.9,26401.9
26762,7264.1,7503.6,16815.0,5966.8,0.0,25806.2
26796,7264.1,7503.6,16815.0,5966.8,0.0,25806.2
27983,8465.9,8115.4,19001.1,3081.9,3299.3,27008.0
28048,19771.2,30310.7,14869.2,29370.9,25569.8,797.0
28050,19771.2,30310.7,14869.2,29370.9,25569.8,797.0
28062,6087.1,9964.2,20688.0,5542.9,5008.2,24629.2
28063,16710.5,22070.6,1306.3,22267.4,17490.1,15559.4
28065,5577.0,11700.1,20265.2,7278.8,5061.4,24119.1
28109,7492.3,12710.2,22460.8,5686.3,7754.2,26313.6
28149,20272.2,30811.7,15370.2,29871.9,26070.8,618.8
28156,7859.8,7466.9,18134.0,4105.9,2061.9,26401.9
28185,19996.0,30535.5,15094.0,29595.7,25794.6,0.0
28193,16373.1,21730.5,518.6,21927.3,17150.0,15222.0
28234,6840.7,7800.5,17293.5,4817.5,1682.7,25382.8
28259,6087.1,9964.2,20688.0,5542.9,5008.2,24629.2
28279,8089.8,11946.8,22670.6,5853.8,6990.8,26732.8
28346,7622.6,6990.8,17173.5,5315.3,1146.0,26164.7
28348,20058.6,25966.3,5738.1,26163.1,21385.8,14264.2
28369,7604.5,7514.2,17916.2,4162.9,2080.8,26146.6
28382,10562.4,23008.8,25530.9,15630.2,16751.4,26845.3
28388,9597.9,8289.8,13764.7,8486.6,3709.3,24670.1
28389,9597.9,8289.8,13764.7,8486.6,3709.3,24670.1
28403,8465.9,8115.4,19001.1,3081.9,3299.3,27008.0
28415,20058.6,25966.3,5738.1,26163.1,21385.8,14264.2
28418,6840.7,7800.5,17293.5,4817.5,1682.7,25382.8
28426,7468.6,8060.7,17780.3,4316.8,2057.1,26010.7
28427,7468.6,8060.7,17780.3,4316.8,2057.1,26010.7
28439,13470.2,1146.7,20997.1,9064.0,6995.4,30334.0
28440,20058.6,25966.3,5738.1,26163.1,21385.8,14264.2
28452,7468.6,8060.7,17780.3,4316.8,2057.1,26010.7
28453,7468.6,8060.7,17780.3,4316.8,2057.1,26010.7
28455,19996.0,30535.5,15094.0,29595.7,25794.6,0.0
28458,14046.3,419.1,21573.2,10090.9,7571.5,30910.1
28462,13860.6,3828.3,23471.9,7613.2,7446.2,32402.7
28463,6346.6,11125.2,18438.5,8419.9,4401.8,23837.4
28468,13560.4,17216.0,28528.9,7627.8,12934.3,32381.7
28501,21994.1,32533.6,17547.2,31593.8,27792.7,5019.9
28502,7859.8,7466.9,18134.0,4105.9,2061.9,26401.9
28508,8465.9,8115.4,19001.1,3081.9,3299.3,27008.0
28518,7622.6,6990.8,17173.5,5315.3,1146.0,26164.7
30027,22211.3,32519.5,13911.3,31811.0,27939.0,5430.4
30571,23812.8,22680.8,34348.0,13318.3,18624.8,41657.9
31563,19996.0,30535.5,15094.0,29595.7,25794.6,0.0
32364,8166.5,7290.3,17729.4,4951.9,1703.7,26708.6
32626,12130.4,20935.8,6304.6,21132.6,16355.3,13812.5
32688,13912.9,24452.4,11887.3,23512.6,19711.5,6985.4
32800,12495.8,7326.6,22107.1,4748.5,6081.4,31037.9
32849,20272.2,30811.7,15370.2,29871.9,26070.8,618.8
32852,20127.0,30666.5,14588.3,29726.7,25925.6,3841.4
32921,19145.8,29454.0,10845.8,28745.5,24873.5,8572.9
33179,19220.0,25449.0,5220.8,25645.8,20868.5,14879.0
33378,8089.8,11946.8,22670.6,5853.8,6990.8,26732.8
33401,7179.9,7797.8,17491.6,4634.6,1720.0,25722.0
33407,20058.6,25966.3,5738.1,26163.1,21385.8,14264.2
33427,16987.7,22350.7,1437.0,22547.5,17770.2,15836.6
33452,13989.7,24529.2,11964.1,23589.4,19788.3,7062.2
33458,5303.9,11333.3,17576.9,8628.0,4609.9,22768.0
33486,14046.3,419.1,21573.2,10090.9,7571.5,30910.1
33597,16373.1,21730.5,518.6,21927.3,17150.0,15222.0
33648,11638.5,4302.8,21249.8,6428.6,5224.1,30180.6
33657,14855.5,1513.5,22382.4,10330.5,8380.7,31719.3
33659,14855.5,1513.5,22382.4,10330.5,8380.7,31719.3
33693,18945.6,30856.1,18741.1,29140.1,25393.0,9073.8
33789,7179.9,7797.8,17491.6,4634.6,1720.0,25722.0
33801,21994.1,32533.6,17547.2,31593.8,27792.7,5019.9
33802,70002.2,80422.3,77212.2,70834.1,76140.6,68477.3
